advertiser,year,month,Tv,Print_Media,Radio,Google,Fb_and_Insta,Youtube,Hoardings,Others,Total,Sales
AARTI INFRA & BUILDCON LTD,2018,11,862745,31409.03335,13214.8141,250046.7565,287176.8134,54150.20924,16060.0635,25999.26428,1540801.954,19995327.72
AARTI INFRA & BUILDCON LTD,2018,12,862745,31409.03335,13214.8141,250046.7565,287176.8134,54150.20924,16060.0635,25999.26428,1540801.954,19995327.72
ACTO PHARMA,2020,10,117432,8103.864812,1015.724764,15588.45995,22245.69767,5807.076516,1129.79379,3422.36373,174744.9812,2891325.375
ACTO PHARMA,2020,11,117432,8103.864812,1015.724764,15588.45995,22245.69767,5807.076516,1129.79379,3422.36373,174744.9812,2891325.375
ACTO PHARMA,2020,12,117432,8103.864812,1015.724764,15588.45995,22245.69767,5807.076516,1129.79379,3422.36373,174744.9812,2891325.375
ADANI GROUP,2019,12,1326000,64374.63497,9728.796803,427911.3201,409264.2925,81583.35866,18503.8449,34340.7537,2371707.002,26125068.18
ADDEFY ADVERTISING SERVICES PRIVATE LIMITED,2020,10,3346000,115963.5085,35674.82686,1028556.645,1016480.715,117420.2289,69576.6595,91156.70698,5820829.29,89826766.19
ADDEFY ADVERTISING SERVICES PRIVATE LIMITED,2020,11,3346000,115963.5085,35674.82686,1028556.645,1016480.715,117420.2289,69576.6595,91156.70698,5820829.291,89826766.19
ADDEFY ADVERTISING SERVICES PRIVATE LIMITED,2020,12,3346000,115963.5085,35674.82686,1028556.645,1016480.715,117420.2289,69576.6595,91156.70698,5820829.291,89826766.19
ADITYA BIRLA FINANCE LTD,2021,3,9912661,419058.901,153621.531,2034452.961,1821799.133,367325.5961,101933.5186,165447.1673,14976299.81,178708610.1
ADITYA BIRLA FINANCE LTD,2021,4,9912661,323137.975,87767.22081,2767835.766,2594275.57,426108.0576,217747.5163,99052.72701,16428585.83,209574441.9
ADITYA BIRLA FINANCE LTD,2021,5,9912661,432712.122,144304.3626,1771106.566,2625151.778,618328.7987,88413.02584,318299.7509,15910977.4,124551896.9
ADITYA BIRLA FINANCE LTD,2021,6,9912661,612402.5338,56650.07968,1159484.563,4569295.451,301389.47,127766.0913,336385.1473,17076034.34,252230810.2
ADITYA VISION PVT LTD,2020,10,658920,19983.13097,7120.403468,133355.9418,206677.1247,24763.67632,7160.837043,14709.91605,1072691.03,13317175.76
ADITYA VISION PVT LTD,2020,11,1880013,134892.6338,31234.93918,151309.0335,713700.3458,102625.5738,10471.1061,62984.42456,3087231.057,45579711.61
ADITYA VISION PVT LTD,2020,12,1269466.5,77437.88239,19177.67132,142332.4877,460188.7353,63694.62506,8815.971572,38847.17031,2079961.044,29448443.69
ADJ UTILITY APPS PRIVATE LIMITED,2019,11,11532557,425090.9315,83730.79377,2942953.861,2359264.1,360600.7122,109113.5693,265227.6245,18078538.59,141469656.2
ADJ UTILITY APPS PRIVATE LIMITED,2019,12,11532557,425090.9315,83730.79377,2942953.861,2359264.1,360600.7122,109113.5693,265227.6245,18078538.59,141469656.2
AERONUTRIX SPORTS PRODUCTS PVT LTD,2020,11,652545,41670.7239,9569.46459,194983.7996,268078.4277,34157.16115,7646.735226,13087.94735,1221739.26,13833902.91
AERONUTRIX SPORTS PRODUCTS PVT LTD,2020,12,652545,41670.7239,9569.46459,194983.7996,268078.4277,34157.16115,7646.735226,13087.94735,1221739.26,13833902.91
AGROSAF PHARMACEUTICALS,2020,12,1638986,116289.8901,12125.32027,416530.4059,665169.0352,66166.51654,35608.48701,29984.43926,2980860.094,43695003.94
AIR ASTANA,2018,11,1358033,97498.85059,18658.81323,370422.7171,413983.4014,60499.28875,14222.91543,41566.65273,2374885.639,27243307.5
AIR ASTANA,2018,12,1358033,97498.85059,18658.81323,370422.7171,413983.4014,60499.28875,14222.91543,41566.65273,2374885.639,27243307.5
AJANTA MANUFACTURERS,2021,3,12425041,931583.8035,164924.6074,1580444.381,4064529.509,401331.5486,279714.5153,253550.3754,20101119.74,289623186.9
AJANTA MANUFACTURERS,2021,4,12425041,880414.0944,180343.0974,1792034.082,4134386.003,518452.7327,292237.7498,185310.7458,20408219.5,194773989
AJANTA MANUFACTURERS,2021,5,12425041,326851.4266,124554.1577,1839010.351,4136520.413,405481.1958,163988.2474,281169.5866,19702616.38,306434475.6
AJANTA MANUFACTURERS,2021,6,12425041,682473.0881,142674.724,1220408.963,4691642.789,550600.5457,156487.8472,444887.7773,20314216.73,349084289.6
AKSHAYA PATRA FOUNDATIONS,2020,12,878951,39405.06345,4695.061915,163006.7472,195765.9513,46660.31611,6498.165493,18523.25918,1353505.565,21306221.81
AKUATE INTERNET SERVICES PVT LTD,2020,9,62936119,2969258.089,974881.9435,10977344.79,25777112.56,1873821.375,654606.4857,626559.1367,106789703.4,734791598.9
AKUATE INTERNET SERVICES PVT LTD,2020,10,64792460,2615930.075,517387.4743,11695667.14,18099592.66,3060744.002,1101048.965,622545.983,102505376.3,1509604900
AKUATE INTERNET SERVICES PVT LTD,2020,11,63864289.5,2792594.082,746134.7089,11336505.97,21938352.61,2467282.689,877827.7254,624552.5599,104647539.8,1122198249
AKUATE INTERNET SERVICES PVT LTD,2020,12,64792460,2615930.075,517387.4743,11695667.14,18099592.66,3060744.002,1101048.965,622545.983,102505376.3,1509604900
ALDA INDIA,2020,11,2150052,149016.1316,18170.7352,589714.0968,538071.2359,60311.90464,43047.31285,75396.66907,3623780.086,30704133.77
ALDA INDIA,2020,12,2150052,149016.1316,18170.7352,589714.0968,538071.2359,60311.90464,43047.31285,75396.66907,3623780.086,30704133.77
ALDAR PROPERTIES,2019,11,977526,29831.1867,16861.21781,177246.8321,355613.6794,35643.59904,4103.033508,27233.43204,1624058.981,21746412.47
ALDAR PROPERTIES,2019,12,977526,29831.1867,16861.21781,177246.8321,355613.6794,35643.59904,4103.033508,27233.43204,1624058.981,21746412.47
ALUBOND USA,2019,11,487135,13672.81804,6245.886598,119393.3079,219305.3596,29975.80473,4728.030935,15230.14386,895686.3517,13381629.31
ALUBOND USA,2019,12,487135,13672.81804,6245.886598,119393.3079,219305.3596,29975.80473,4728.030935,15230.14386,895686.3517,13381629.31
AMERICAN EXPRESS BANKING CORP,2019,11,14479562,507843.2456,170515.8114,3181663.707,4760653.485,423579.7112,306126.7873,538942.5168,24368887.26,438896632.3
AMERICAN EXPRESS BANKING CORP,2019,12,476032,18789.85104,2534.88148,136924.3196,205151.6213,29413.00217,8114.102524,4622.131364,881581.9095,7028728.107
AMR INFRASTRUCTURES (HYD),2019,12,526334,14348.40947,6531.921778,88022.37322,246492.1121,32793.1936,3744.188315,12017.82892,930284.0274,5444396.195
AMRUTHA OIL PRODUCTS,2019,9,783468,36389.04911,10363.10883,114742.7877,205588.3886,29622.11471,12608.11189,23649.84498,1216431.406,18179814.96
AMRUTHA OIL PRODUCTS,2019,10,783468,36389.04911,10363.10883,114742.7877,205588.3886,29622.11471,12608.11189,23649.84498,1216431.406,18179814.96
AMRUTHA OIL PRODUCTS,2019,11,783468,36389.04911,10363.10883,114742.7877,205588.3886,29622.11471,12608.11189,23649.84498,1216431.406,18179814.96
AMRUTHA OIL PRODUCTS,2019,12,783468,36389.04911,10363.10883,114742.7877,205588.3886,29622.11471,12608.11189,23649.84498,1216431.406,18179814.96
ANAND RATHI FINANCIAL SERVICES,2020,11,2050326,131361.6217,23930.18361,383559.1913,661234.0266,91708.63696,44272.34174,56691.19196,3443083.194,49025247.09
ANAND RATHI FINANCIAL SERVICES,2020,12,2050326,131361.6217,23930.18361,383559.1913,661234.0266,91708.63696,44272.34174,56691.19196,3443083.194,49025247.09
ANANDAM SILKS,2018,10,8586151,278860.4678,97575.55356,2359051.679,2068825.232,450805.2505,179060.778,95496.00023,14115825.96,166942461
ANANDAM SILKS,2018,11,128847,3832.125592,981.023896,35774.48775,53637.12734,8150.259343,1443.709791,3514.501527,236180.2352,2547413.264
ANANDAM SILKS,2018,12,4357499,141346.2967,49278.28873,1197413.083,1061231.18,229477.7549,90252.2439,49505.25088,7176003.098,84744937.13
ANDSLITE INDIA PVT LTD,2020,11,74548,4484.200993,522.5458573,19319.70198,34093.51539,2042.33424,1287.670834,2806.994762,139104.9641,992870.2131
ANDSLITE INDIA PVT LTD,2020,12,74548,4484.200993,522.5458573,19319.70198,34093.51539,2042.33424,1287.670834,2806.994762,139104.9641,992870.2131
ANNA ALLUMINIUM/SARA SPICES,2021,3,3975922,188116.2943,54878.52149,1272832.707,990812.8458,253149.0217,32663.60715,91792.98478,6860167.982,117557338.8
ANNA ALLUMINIUM/SARA SPICES,2021,4,3975922,184620.1037,38294.02482,863735.6904,1043651.575,166325.712,42981.89925,146979.1505,6462510.156,49512679.59
ANNA ALLUMINIUM/SARA SPICES,2021,5,3975922,190491.0719,35935.9994,1280775.557,1724369.092,152557.5653,40477.66404,123885.3876,7524414.337,77657000.21
ANNA ALLUMINIUM/SARA SPICES,2021,6,3975922,189388.319,47777.29536,917374.146,860151.1943,209641.6755,39882.49881,105991.7157,6346128.845,101705281.9
ANUPAM RASAYAN INDIA LTD,2021,3,1305619,92374.70562,20812.22312,282246.0329,622880.9586,62346.33802,15433.6133,27962.1749,2429675.046,24224445.76
ANUPAM RASAYAN INDIA LTD,2021,4,1305619,69359.60561,18265.59729,299839.8613,297441.1215,64260.40069,14618.79953,33265.86938,2102670.255,25799456.92
ANUPAM RASAYAN INDIA LTD,2021,5,1305619,38561.85927,22227.08999,230342.3439,278516.6003,36793.62996,14474.47288,18808.33378,1945343.33,33414116.96
ANUPAM RASAYAN INDIA LTD,2021,6,1305619,47490.77662,19391.72619,313001.4309,310203.6284,72362.16116,8139.185331,39708.02094,2115915.93,31142244.5
ANUPM DETERGENT & CHEMICALS PVT LTD,2021,3,68960,2489.55942,1174.345418,19378.96711,22425.07144,2570.991799,984.7125351,2339.205279,120322.853,1032934.27
ANUPM DETERGENT & CHEMICALS PVT LTD,2021,4,68960,4188.920114,1162.727209,20766.49221,14485.34404,4129.821379,923.0174003,1992.50929,116608.8316,1786364.077
ANUPM DETERGENT & CHEMICALS PVT LTD,2021,5,68960,1961.40029,1156.575629,17942.6224,31274.68113,3532.337321,1227.107796,2567.494273,128622.2188,1304120.447
ANUPM DETERGENT & CHEMICALS PVT LTD,2021,6,68960,2442.080638,1131.018389,10202.52062,21791.47268,3206.290642,929.3794357,1500.645946,110163.4083,1355747.606
ANURAG UNIVERSITY,2020,9,722818,37506.96972,6105.394951,234804.9849,326822.1483,32952.24075,15814.05159,15066.4527,1391890.243,21871299.35
ANURAG UNIVERSITY,2020,10,535948,26078.82445,3405.56418,65626.7265,168993.6734,21702.55517,4793.451861,8137.638645,834686.4342,16069880.23
ANURAG UNIVERSITY,2020,11,629383,31792.89709,4755.479566,150215.8557,247907.9109,27327.39796,10303.75173,11602.04567,1113288.339,18970589.79
ANURAG UNIVERSITY,2020,12,535948,26078.82445,3405.56418,65626.7265,168993.6734,21702.55517,4793.451861,8137.638645,834686.4342,16069880.23
APPY PIE LLP,2020,9,2641616,114889.3566,26182.41001,348850.8911,1155939.069,86765.92652,40933.22199,27046.07979,4442222.955,49950261.71
APPY PIE LLP,2020,10,2641616,114889.3566,26182.41001,348850.8911,1155939.069,86765.92652,40933.22199,27046.07979,4442222.955,49950261.71
APPY PIE LLP,2020,11,2641616,114889.3566,26182.41001,348850.8911,1155939.069,86765.92652,40933.22199,27046.07979,4442222.955,49950261.71
APPY PIE LLP,2020,12,2641616,114889.3566,26182.41001,348850.8911,1155939.069,86765.92652,40933.22199,27046.07979,4442222.955,49950261.71
APURVA TEXTILE SHOWROOM,2018,12,2275543,148004.1158,20992.43268,431638.2477,709029.7336,111918.5362,34647.4441,72333.04348,3804106.554,51468391.81
AQUA PLUMBINGS PVT LTD,2018,12,16897,1159.322409,98.36636646,1788.37708,6847.488245,754.560445,232.1755773,226.9753592,28004.26548,296786.2044
ARCHIVO INFRA INC,2020,9,316726,21645.02549,5042.463502,44892.96087,61586.03229,15722.51797,2337.389282,3967.080855,471919.4703,9332865.067
ARCHIVO INFRA INC,2020,10,316726,21645.02549,5042.463502,44892.96087,61586.03229,15722.51797,2337.389282,3967.080855,471919.4703,9332865.067
ARCHIVO INFRA INC,2020,11,316726,21645.02549,5042.463502,44892.96087,61586.03229,15722.51797,2337.389282,3967.080855,471919.4703,9332865.067
ARCHIVO INFRA INC,2020,12,316726,21645.02549,5042.463502,44892.96087,61586.03229,15722.51797,2337.389282,3967.080855,471919.4703,9332865.067
ARISTON THERMO INDIA PVT LTD,2018,11,3669472,177595.7594,57264.6242,497345.8633,1053511.762,212356.8926,62893.64951,77758.29674,5808198.847,101484855.8
ARISTON THERMO INDIA PVT LTD,2018,12,6446951,393103.1476,55143.55291,581820.5913,2332043.367,237384.0562,50336.89199,222374.623,10319157.23,110441899.5
ARISTON THERMO INDIA PVT LTD,2019,11,6851968,500952.0635,74046.68167,2167225.23,2849865.838,253535.2403,135990.9727,266785.2555,13100369.28,102942414.8
ARISTON THERMO INDIA PVT LTD,2019,12,9813762,697202.1081,99603.07412,1432086.214,3619370.792,389647.9776,224419.8879,107967.3032,16384059.36,193822971.9
ARK GOLD COMPANY,2019,11,650514,45105.73039,4666.916641,201965.8988,209554.2075,21349.16951,7547.595231,23112.88186,1163816.4,18053805.1
ARK GOLD COMPANY,2019,12,851882,48750.90513,6496.361433,178746.3859,256972.6485,30140.79071,6325.046629,11607.44771,1390921.586,24404108.06
ASOKA TRADING CO,2019,9,511970,34692.00832,5314.955676,114327.2872,224555.2462,14951.63315,5725.184399,14626.46653,926162.7814,5729598.238
ASOKA TRADING CO,2019,10,1489242,60520.35677,8543.689662,136177.6928,309242.8519,63172.34216,14341.74705,22429.58861,2103670.269,17965834.19
ASOKA TRADING CO,2019,11,1000606,47606.18255,6929.322669,125252.49,266899.0491,39061.98766,10033.46572,18528.02757,1514916.525,11847716.21
ASOKA TRADING CO,2019,12,1489242,60520.35677,8543.689662,136177.6928,309242.8519,63172.34216,14341.74705,22429.58861,2103670.269,17965834.19
ASSOCHAM,2019,12,488852,31103.40958,2514.19447,48713.42249,155391.0005,30173.3331,3126.973092,8680.640341,768554.9736,7826379.483
ASTELLAS PHARMA INC,2021,3,871360,26840.47604,5198.7072,76682.08058,386307.4928,35664.14102,7590.516865,13740.34218,1423383.757,24137337.93
ASTELLAS PHARMA INC,2021,4,871360,29179.15486,13210.33582,198638.1252,384703.4192,44078.13394,18209.11446,13694.26962,1573072.553,16181785.46
ASTELLAS PHARMA INC,2021,5,871360,56648.26567,13880.4814,116516.0888,198994.2539,43554.46138,6362.017732,15394.69478,1322710.264,9833763.988
ASTELLAS PHARMA INC,2021,6,871360,57844.57132,15237.57724,68552.37365,243299.2339,35001.81636,14541.9204,26084.66862,1331922.162,22176755.84
ATOMBERG TECHNOLOGY PVT LTD,2021,3,22705685,1573583.962,199558.1895,6090673.575,8872762.131,667543.1617,257518.6676,668692.7567,41036017.44,359762952.5
ATOMBERG TECHNOLOGY PVT LTD,2021,4,22705685,1418277.276,293193.3858,2556762.429,5015197.471,876130.333,346243.1417,459875.338,33671364.38,297822846.2
ATOMBERG TECHNOLOGY PVT LTD,2021,5,22705685,1581595.78,130057.3088,6431018.193,8903355.801,1263974.446,95406.085,342808.5058,41453901.12,689220361.9
ATOMBERG TECHNOLOGY PVT LTD,2021,6,22705685,1230021.503,308639.2026,4486351.679,8446605.138,782201.918,211317.7344,301384.1993,38472206.37,363692238.9
AUGUST JEWELLERY PVT LTD,2020,10,49559162,2028540.746,684988.4566,4298983.547,15617463.87,1377015.324,449000.1685,1627144.481,75642298.6,997618652.8
AUGUST JEWELLERY PVT LTD,2020,11,26278975,1272092.418,201770.0537,2373711.28,12350883.95,1499717.408,476424.6408,827000.2649,45280575.01,368674202.7
AUGUST JEWELLERY PVT LTD,2020,12,37919068.5,1650316.582,443379.2552,3336347.414,13984173.91,1438366.366,462712.4047,1227072.373,60461436.8,683146427.8
AURIO PHARMA LABORATORIES PVT LTD,2020,9,249822,9779.168481,3436.338771,38287.50212,115478.2044,7080.368638,5736.529489,6823.701543,436443.8134,6276924.709
AURIO PHARMA LABORATORIES PVT LTD,2020,10,249822,9779.168481,3436.338771,38287.50212,115478.2044,7080.368638,5736.529489,6823.701543,436443.8134,6276924.709
AURIO PHARMA LABORATORIES PVT LTD,2020,11,249822,9779.168481,3436.338771,38287.50212,115478.2044,7080.368638,5736.529489,6823.701543,436443.8134,6276924.709
AURIO PHARMA LABORATORIES PVT LTD,2020,12,249822,9779.168481,3436.338771,38287.50212,115478.2044,7080.368638,5736.529489,6823.701543,436443.8134,6276924.709
AWEX,2020,9,583578,18018.57906,4622.962653,158669.6031,209868.9234,32082.25403,8689.133429,13186.87793,1028716.334,13807926.11
AWEX,2020,10,649994,16737.84541,9339.150342,158555.0566,299933.5285,18838.27925,9491.374083,22597.94548,1185487.18,14663566.17
AWEX,2020,11,64267,2709.614483,1085.379722,8105.033154,16370.81351,2452.200305,1132.710789,2467.804173,98590.55613,1287025.201
AWEX,2020,12,357130.5,9723.729947,5212.265032,83330.04488,158152.171,10645.23978,5312.042436,12532.87483,642038.8679,7975295.686
AXEL & MARC FOOD PVT LTD,2018,12,1256640,67889.04209,11438.0301,96653.8324,276942.9948,59540.02472,9987.7577,31259.13506,1810350.817,13501081.17
AXIS BANK FOUNDATION,2018,9,40415760,1396380.889,650653.9953,7575015.299,10902660.64,1961613.064,380352.4186,1294724.946,64577161.25,1047090791
AXIS BANK FOUNDATION,2018,10,6741792,329170.8556,39868.17525,1595840.427,2168056.8,342831.4886,87597.33295,196165.0481,11501322.13,123440398.1
AXIS BANK FOUNDATION,2018,11,1685448,91455.42908,10134.45684,304494.0123,581957.6035,96769.27417,33407.64443,40502.71279,2844169.133,21346397.37
AXIS BANK FOUNDATION,2018,12,4213620,210313.1423,25001.31604,950167.2196,1375007.202,219800.3814,60502.48869,118333.8804,7172745.63,72393397.74
B P OIL MILLS,2018,9,977863,54439.67139,8162.406574,132966.5249,463366.2086,29194.94242,8671.276159,18464.81714,1693128.847,22429965.34
B P OIL MILLS,2018,10,977863,54439.67139,8162.406574,132966.5249,463366.2086,29194.94242,8671.276159,18464.81714,1693128.847,22429965.34
B P OIL MILLS,2018,11,977863,54439.67139,8162.406574,132966.5249,463366.2086,29194.94242,8671.276159,18464.81714,1693128.847,22429965.34
B P OIL MILLS,2018,12,977863,54439.67139,8162.406574,132966.5249,463366.2086,29194.94242,8671.276159,18464.81714,1693128.847,22429965.34
BAGZONE LIFESTYLES PVT LTD,2018,10,6159842,247356.085,60651.38433,1962676.436,1164560.374,198714.6437,129310.9959,138943.0317,10062054.95,127926250.6
BAGZONE LIFESTYLES PVT LTD,2018,11,6464180,364855.485,73500.43924,917479.6697,2469085.378,204379.3393,134132.7177,65778.59512,10693391.62,181094613.9
BAGZONE LIFESTYLES PVT LTD,2018,12,6312011,306105.785,67075.91179,1440078.053,1816822.876,201546.9915,131721.8568,102360.8134,10377723.29,154510432.3
BAJAJ ALLIANZ LIFE INS CO LTD/TV18 BROADCAST LTD,2019,11,428332,20499.45277,6430.280708,96040.15748,195159.0894,16001.90946,4094.653582,8636.516564,775194.0599,7062071.988
BAJAJ ALLIANZ LIFE INS CO LTD/TV18 BROADCAST LTD,2019,12,428332,20499.45277,6430.280708,96040.15748,195159.0894,16001.90946,4094.653582,8636.516564,775194.06,7062071.988
BALIPARA FOUNDATION,2020,11,297660,10382.94845,3676.750662,86714.28791,96635.98376,9615.274767,1647.540357,7917.885185,514250.6711,8145585.151
BALIPARA FOUNDATION,2020,12,944169,27196.203,5585.640122,258913.2549,308955.1839,40894.17277,17360.40342,15924.36986,1618998.228,16295277.72
BALLEBAAZI,2019,9,4774875,336747.406,45711.69651,539217.28,2220899.3,168245.5805,42470.02286,148341.7408,8276508.026,59353818.99
BALLEBAAZI,2019,10,4774875,336747.406,45711.69651,539217.28,2220899.3,168245.5805,42470.02286,148341.7408,8276508.027,59353818.99
BALLEBAAZI,2019,11,4774875,336747.406,45711.69651,539217.28,2220899.3,168245.5805,42470.02286,148341.7408,8276508.027,59353818.99
BALLEBAAZI,2019,12,4774875,336747.406,45711.69651,539217.28,2220899.3,168245.5805,42470.02286,148341.7408,8276508.027,59353818.99
BALTRA HOME PRODUCTS,2019,10,972618,25839.63727,16664.8259,143738.9345,407244.2817,32119.00908,7334.30095,37548.21607,1643107.205,22326092.76
BALTRA HOME PRODUCTS,2019,11,972618,25839.63727,16664.8259,143738.9345,407244.2817,32119.00908,7334.30095,37548.21607,1643107.205,22326092.76
BALTRA HOME PRODUCTS,2019,12,972618,25839.63727,16664.8259,143738.9345,407244.2817,32119.00908,7334.30095,37548.21607,1643107.205,22326092.76
BANGALORE UNIVERSITY,2018,10,813892,54359.42988,7187.058298,98658.87804,357593.9889,32650.13208,3592.846275,31630.70597,1399565.039,23084406.35
BANGALORE UNIVERSITY,2018,11,813892,54359.42988,7187.058298,98658.87804,357593.9889,32650.13208,3592.846275,31630.70597,1399565.039,23084406.35
BANGALORE UNIVERSITY,2018,12,813892,54359.42988,7187.058298,98658.87804,357593.9889,32650.13208,3592.846275,31630.70597,1399565.039,23084406.35
BARBEQUE NATION HOSPITALITY LTD,2021,3,1539386,62428.45607,14940.42521,396970.5077,685496.0816,42199.85322,21859.28565,56173.79972,2819454.409,25492469.65
BARBEQUE NATION HOSPITALITY LTD,2021,4,1539386,106378.3679,8026.268036,268783.1613,591077.4711,90095.35957,20646.68481,16220.12027,2640613.433,36417227.81
BARBEQUE NATION HOSPITALITY LTD,2021,5,1539386,110605.3703,19911.03198,279524.3419,528148.3175,58326.76364,35753.55432,23262.99674,2594918.376,40420419.95
BARBEQUE NATION HOSPITALITY LTD,2021,6,1539386,91140.02228,26681.53733,129833.9132,333285.052,48486.72432,9133.186947,19242.33212,2197188.768,22954932.21
BE YOU FAMILY SALON & BRIDAL STUDIO,2019,12,1575900,78870.66051,27489.54249,346104.3325,598907.9316,62864.67171,22088.0442,45723.63739,2757948.82,35866929.5
BEAUTIFULMATRIMONY.COM,2018,9,1163760,84310.33116,16912.81995,186884.0875,223322.2359,42208.72097,5936.900611,19469.12607,1742804.222,19966694.37
BEAUTIFULMATRIMONY.COM,2018,10,1163760,84310.33116,16912.81995,186884.0875,223322.2359,42208.72097,5936.900611,19469.12607,1742804.222,19966694.37
BEAUTIFULMATRIMONY.COM,2018,11,1163760,84310.33116,16912.81995,186884.0875,223322.2359,42208.72097,5936.900611,19469.12607,1742804.222,19966694.37
BEAUTIFULMATRIMONY.COM,2018,12,1163760,84310.33116,16912.81995,186884.0875,223322.2359,42208.72097,5936.900611,19469.12607,1742804.222,19966694.37
BEAUTY MARK GOLD & DIAMONDS,2020,9,514653,14464.86454,3281.842025,148765.277,120236.3858,16811.19588,3577.661309,7961.048475,829751.2751,7072347.885
BEAUTY MARK GOLD & DIAMONDS,2020,10,514653,14464.86454,3281.842025,148765.277,120236.3858,16811.19588,3577.661309,7961.048475,829751.275,7072347.885
BEAUTY MARK GOLD & DIAMONDS,2020,11,514653,14464.86454,3281.842025,148765.277,120236.3858,16811.19588,3577.661309,7961.048475,829751.275,7072347.885
BEAUTY MARK GOLD & DIAMONDS,2020,12,514653,14464.86454,3281.842025,148765.277,120236.3858,16811.19588,3577.661309,7961.048475,829751.275,7072347.885
BEEKAY GROUP OF INDUSTRIES,2019,12,551850,23766.802,6414.293914,135325.7548,241783.7938,33944.52357,4582.680167,4982.776073,1002650.624,9193311.954
BELIEVE PTE LTD,2020,9,2114927,85564.91505,25278.68974,621734.2246,439719.3911,69498.7919,25750.86533,69511.08213,3451984.96,44025683.65
BELIEVE PTE LTD,2020,10,10172588,715039.8087,170831.0621,3024743.548,2479960.664,609260.0076,73486.85784,332682.887,17578592.84,204445314.6
BELIEVE PTE LTD,2020,11,6143757.5,400302.3619,98054.87592,1823238.886,1459840.028,339379.3998,49618.86159,201096.9846,10515288.9,124235499.1
BELIEVE PTE LTD,2020,12,10172588,715039.8087,170831.0621,3024743.548,2479960.664,609260.0076,73486.85784,332682.887,17578592.84,204445314.6
BHARATIYA JANATA YUVA MORCHA,2020,10,734818,46557.32473,4069.542247,227990.3307,340841.6347,33058.3424,9451.815778,11954.62323,1408741.614,14059961.01
