advertiser,Best_Model
ABBOTT HEALTH CARE PVT LTD,LSTM
ABBOTT INDIA LTD,LSTM
ABC CARGO,LSTM
ABHAY AYURVEDIC PHARMACY,Multiple_Regression_TV_Radio_Media
ABHIBUS SERVICES INDIA PVT LTD,LSTM
ABHIJAY HOSPITAL PVT LTD,LSTM
ABHIMANTRIT GURUPRASADAM AYURVEDA HERBAL FOODS PVT,Multiple_Regression_TV_Radio_Media
ABHISHEKHAM JEWELLERS,Multiple_Regression_TV_Radio_Media
ABHYUDAYA CO OP BANK,Multiple_Regression
ABILITY GAMES PVT LTD,LSTM
ABLE EXPORTS,Multiple_Regression_TV_Radio_Media
ABLE INTL GROUP,Multiple_Regression_TV_Radio_Media
ABORON,Multiple_Regression
ABP LTD,Multiple_Regression_TV_Radio_Media
ABP NETWORK PVT LTD,Multiple_Regression_TV_Radio_Media
ABU DHABI TOURISM,LSTM
ABZY.COM,Multiple_Regression
ACC LTD,LSTM
ACC STEEL PVT LTD,Multiple_Regression_TV_Radio_Media
ACCENTURE SOLUTIONS PVT LTD,LSTM
ACCOLAND FAMILY FUN KINGDOM,Multiple_Regression
ACCOR HOTELS,LSTM
ACE CREATIVE LEARNING PVT LTD,Multiple_Regression_TV_Radio_Media
ACE GROUP,Multiple_Regression
ACE GROUP INDIA (GZB),Multiple_Regression
ACE PRODUCTIONS PVT LTD,Multiple_Regression_TV_Radio_Media
ACER INDIA (PVT) LTD,Multiple_Regression_TV_Radio_Media
ACHARIYA WORLD CLASS EDU,Multiple_Regression_TV_Radio_Media
ACHHA AGRO INDIA,Multiple_Regression_TV_Radio_Media
ACKO GENERAL INSURANCE LTD,LSTM
ACME GROUP,Linear_Regression
ACRO PAINTS LIMITED,Multiple_Regression_TV_Radio_Media
ACT GRANTS,Polynomial_Regression_TV_to_Others
ACTION GROUP,Multiple_Regression
ACTIONAID ASSOCIATION,Multiple_Regression_TV_Radio_Media
ACTIONAID INDIA SOC,Multiple_Regression
ACTO PHARMA,Multiple_Regression_TV_Radio_Media
ACTOSERBA ACTIVE WHOLESALE PVT LTD,Multiple_Regression_TV_Radio_Media
ADAMA INDIA PVT LTD,Linear_Regression
ADANI GROUP,Multiple_Regression_TV_Radio_Media
ADANI WILMAR LIMITED,LSTM
ADARSH CREDIT COOP SOC LTD,Multiple_Regression
ADDATIMES MEDIA PVT LTD,Multiple_Regression
ADDEFY ADVERTISING SERVICES PRIVATE LIMITED,Multiple_Regression_TV_Radio_Media
ADHI CLG OF ENGG & TECH,Multiple_Regression
ADHUNIK METALIK LTD,Linear_Regression
ADI AKSHOY & CO,Multiple_Regression_TV_Radio_Media
ADI DHAKESHWARI,LSTM
ADI DHAKESHWARI BASTRALAYA,LSTM
ADI MOHINI MOHAN KANJILAL MKTG PVT LTD,LSTM
ADI SHANKARA TRUST,Polynomial_Regression_TV_to_Others
ADIDAS,LSTM
ADITYA BIRLA CAPITAL LTD,Multiple_Regression
ADITYA BIRLA FASHION & RETAIL LTD,LSTM
ADITYA BIRLA FINANCE LTD,Multiple_Regression_TV_Radio_Media
ADITYA BIRLA HEALTH INSURANCE CO LTD,Multiple_Regression
ADITYA BIRLA MANAGEMENT CORP LTD,LSTM
ADITYA BIRLA NUVO LTD,LSTM
ADITYA BIRLA SUNLIFE ASSET MGMT CO,Multiple_Regression
ADITYA VISION PVT LTD,Multiple_Regression_TV_Radio_Media
ADJ UTILITY APPS PRIVATE LIMITED,Multiple_Regression_TV_Radio_Media
ADJAVIS VENTURE PVT LTD,LSTM
ADL ORBIT CABLE PVT LTD,Multiple_Regression
ADLABS RADIO PVT LTD,Polynomial_Regression_TV_Radio_Media
ADVAITH GOLD PRIVATE LIMITED,Polynomial_Regression_TV_Radio_Media
ADVANCED HAIR STUDIO,Multiple_Regression_TV_Radio_Media
ADVANCED PAIN MGMT CENTER,Multiple_Regression
ADVANCED PERSONAL CARE LTD,Multiple_Regression_TV_Radio_Media
ADVANTA INDIA LTD,Linear_Regression
AEGON LIFE INSURANCE CO LTD,Multiple_Regression
AEON FORMULATION PVT LTD,Multiple_Regression_TV_Radio_Media
AERO,LSTM
AERONUTRIX SPORTS PRODUCTS PVT LTD,Multiple_Regression_TV_Radio_Media
AETN 18 MEDIA PVT LTD,Multiple_Regression
AEVAS BUSINESS SOLUTIONS PVT LTD,Multiple_Regression_TV_Radio_Media
AFI AGRO PVT LTD,Multiple_Regression_TV_Radio_Media
AFP MANUFACTURING CO PVT LTD,Linear_Regression
AGA KHAN DEVELOPMENT NETWORK,Multiple_Regression_TV_Radio_Media
AGARWAL RUBBER LTD,Multiple_Regression_TV_Radio_Media
AGENCY FOR NON-CONVEN ENER&RUL,Multiple_Regression_TV_Radio_Media
AGNI CLG OF TECHNOLOGY,Multiple_Regression_TV_Radio_Media
AGNI STEELS PVT LTD,LSTM
AGRA OIL & GENERAL INDS LTD,Multiple_Regression_TV_Radio_Media
AGRAHARI MASALA UDYOG,LSTM
AGRICULTURE INSURANCE OF INDIA,Multiple_Regression_TV_Radio_Media
AGRICULTURE TECH MGMT AGENCY,Multiple_Regression_TV_Radio_Media
AGRISOFT DAIRY & AGRO PRODUCER CO LTD,Multiple_Regression_TV_Radio_Media
AGRO LIFE SCIENCE CORPORATION,Multiple_Regression_TV_Radio_Media
AGRO TECH FOODS LTD,LSTM
AGROSAF PHARMACEUTICALS,Multiple_Regression_TV_Radio_Media
AGROSTAR,LSTM
AGSAR PAINTS,Multiple_Regression
AHAGURU EDUCATION TECH PVT LTD,Linear_Regression
AHMEDABAD CITY TRAFFIC POLICE,Multiple_Regression_TV_Radio_Media
AHMEDABAD DIST CO OP BANK,Multiple_Regression_TV_Radio_Media
AHMEDABAD MUNICIPAL CORPORATION,LSTM
AIADMK,LSTM
AIMS INSTITUTES (BLR),LSTM
AIR ARABIA PJSC,Multiple_Regression_TV_Radio_Media
AIR ASIA (INDIA) PVT LTD,Multiple_Regression
AIR ASTANA,Multiple_Regression_TV_Radio_Media
AIR INDIA,LSTM
AIRBNB INC,Multiple_Regression
AIRTEL PAYMENTS BANK LTD,LSTM
AIRWAYS COURIER INDIA PVT LTD,Multiple_Regression_TV_Radio_Media
AISHWARYA TEA INDUSTRIES,Multiple_Regression_TV_Radio_Media
AISHWARYAA GOLD BUYERS PVT LTD,LSTM
AISHWARYAM FACILITY SERVICE MGMT,Multiple_Regression_TV_Radio_Media
AJANTA FOOTCARE (IND) PVT LD,Multiple_Regression_TV_Radio_Media
AJANTA MANUFACTURERS,Multiple_Regression_TV_Radio_Media
AJE INDIA,Multiple_Regression_TV_Radio_Media
AJEET SEEDS LTD,Multiple_Regression
AJINOMOTO INDIA PVT LTD,LSTM
AJMI FOOD PRODUCTS PVT LTD,Linear_Regression
AKD CALCUTTA AYURVED,LSTM
AKD INST OF MEDIA SCI AND TECH,LSTM
AKHILA BHARAT KARAKUSHALA VAARA,Multiple_Regression_TV_Radio_Media
AKS UNIVERSITY,Multiple_Regression
AKSHARA CHIT FUNDS,Multiple_Regression
AKSHARA TOWNSHIPS INDIA PVT LTD,Multiple_Regression_TV_Radio_Media
AKSHARABHYAS PRE-PRIMARY PLAY SCHOOL,Multiple_Regression_TV_Radio_Media
AKSHAYA GOLD COMPANY,Linear_Regression
AKSHAYA PATRA FOUNDATIONS,Multiple_Regression_TV_Radio_Media
AKSHAYA PVT LTD,Multiple_Regression_TV_Radio_Media
AKUATE INTERNET SERVICES PVT LTD,Multiple_Regression_TV_Radio_Media
AKZO NOBEL INDIA LTD,LSTM
AL ANSARI EXCHANGE,Multiple_Regression_TV_Radio_Media
AL FAREED MEDICAL CENTRE,Multiple_Regression_TV_Radio_Media
AL MAWAKEB,Polynomial_Regression_TV_Radio_Media
AL RAJHI BANKING & INVESTMENT CORP,Polynomial_Regression_TV_to_Others
AL- HODA KUWAITI CO. W.L.L,Multiple_Regression_TV_Radio_Media
ALAGU JOTHI ACADEMY,Multiple_Regression_TV_Radio_Media
ALAYA COTTON MILLS,LSTM
ALCAZAR WEDDING RESORT,Multiple_Regression_TV_Radio_Media
ALCHEM INTL LTD,Multiple_Regression_TV_Radio_Media
ALCON LABORATORIES INDIA PVT LTD,Multiple_Regression_TV_Radio_Media
ALCON VICTOR GROUP,Multiple_Regression_TV_Radio_Media
ALCOVE REALTY-NK REALTORS,Polynomial_Regression_TV_Radio_Media
ALDA INDIA,Multiple_Regression_TV_Radio_Media
ALDAR PROPERTIES,Multiple_Regression_TV_Radio_Media
ALHIND TOURS & TRAVELS PVT LTD,Multiple_Regression_TV_Radio_Media
ALKEM LABORATORIES LTD,LSTM
ALL IND SOC FOR ELEC&COMP TECH,LSTM
ALL INDIA ASSO OF INDUSTRIES,Multiple_Regression_TV_Radio_Media
ALL INDIA INST OF MEDI SCI,Multiple_Regression
ALL INDIA MAHILA EMPOWERMENT PARTY,Multiple_Regression_TV_Radio_Media
ALL INDIA OPHTHALMOLOGICAL SOCIETY,Multiple_Regression_TV_Radio_Media
ALLEN CAREER INST,LSTM
ALLENS INDIA LTD,LSTM
ALLIANCE INFRASTRUCTURE PVT LT,Multiple_Regression_TV_Radio_Media
ALLIANCE UNIVERSITY,Multiple_Regression
ALLIED BLENDERS & DISTILLERS P LTD,Polynomial_Regression_TV_to_Others
ALLUVA FOUNDATION,Linear_Regression
ALMOND BOARD OF CALIFORNIA,LSTM
ALPHA MIND POWER,Multiple_Regression_TV_Radio_Media
ALPHA VIDHYA SANKUL,Multiple_Regression_TV_Radio_Media
ALT DIGITAL MEDIA ENTERTAINMENT LIMITED,LSTM
ALTIS PROPERTIES,Multiple_Regression_TV_Radio_Media
ALTO HEALTHCARE PVT LTD,Multiple_Regression_TV_Radio_Media
ALUBOND USA,Multiple_Regression_TV_Radio_Media
AM P PAN PRODUCTS PVT LTD (LCK),Linear_Regression
AM TELEVISION PVT LTD,Linear_Regression
AMAGI MEDIA LABS,Multiple_Regression
AMANDEEP HEALTHCARE PVT LTD,Linear_Regression
AMAR MAHAL (ORCHHA),Multiple_Regression
AMAR SINGH CHAWALWALA,Multiple_Regression_TV_Radio_Media
AMAR TEA PVT LTD,LSTM
AMAZON FALLS CO LTD,Multiple_Regression
AMAZON ONLINE INDIA PVT LTD,LSTM
AMBA STEEL,LSTM
AMBARNATH JAI-HIND COOP BANK,Multiple_Regression
AMBATI SUBBANNA & CO,Multiple_Regression_TV_Radio_Media
AMBER ENTERPRISES (I) PVT LTD,Multiple_Regression_TV_Radio_Media
AMBICA CHEMICAL PRODUCTS,LSTM
AMBUJA CEMENTS LTD,Multiple_Regression
AMCOS XL PAINTS INDIA PVT LTD,Multiple_Regression
AMERICAN EXPRESS BANKING CORP,Multiple_Regression_TV_Radio_Media
AMERICAN INDIA FOUNDATION,Multiple_Regression_TV_Radio_Media
AMERICAN ONCOLOGY INST/NANGIA SPL HOSP,Multiple_Regression_TV_Radio_Media
AMERICAN PISTACHIOS GROWERS,LSTM
AMERICAN STANDARDBATH&KITCHEN INDIA PVT,Multiple_Regression_TV_Radio_Media
AMET UNIVERSITY,Multiple_Regression
AMFI (ASSO OF MUTUAL FUNDS IN INDIA),LSTM
AMIRCHAND JAGDISH KUMAR (EXPORTS) LTD,Multiple_Regression
AMIRTA INTL INST OF HOTEL MGMT&CATER TEC,Multiple_Regression_TV_Radio_Media
AMITY EDUCATION GROUP,LSTM
AMMA MAKKAL MUNNETRA KAZHAGAM,LSTM
AMR INFRASTRUCTURES (HYD),Multiple_Regression_TV_Radio_Media
AMRIT CEMENT INDUSTRIES LTD,LSTM
AMRIT SOP & DETERGENTS,LSTM
AMRITA VISHWA VIDYAPEETHAM,LSTM
AMRUTANJAN HEALTH CARE LTD,LSTM
AMRUTHA OIL PRODUCTS,Multiple_Regression_TV_Radio_Media
AMRUTLAL & SONS,Multiple_Regression_TV_Radio_Media
AMWAY INDIA ENTERPRISES,Multiple_Regression_TV_Radio_Media
ANALOG IAS ACADEMY,Multiple_Regression_TV_Radio_Media
ANAND HOSIERY,LSTM
ANAND RATHI FINANCIAL SERVICES,Multiple_Regression_TV_Radio_Media
ANANDA GREEN MANTHRA DEVELOPERS P LTD,Multiple_Regression_TV_Radio_Media
ANANDAM SILKS,Multiple_Regression_TV_Radio_Media
ANCHOR ELECTRICALS PVT LTD,Multiple_Regression_TV_Radio_Media
ANCHOR HEALTH & BEAUTYCARE,LSTM
ANDHRA PRINTERS PVT LTD,Multiple_Regression_TV_Radio_Media
ANDHRAPRABHA PUBLICATIONS,Multiple_Regression_TV_Radio_Media
ANDREAS STIHL PVT LTD,Polynomial_Regression_TV_to_Others
ANDSLITE INDIA PVT LTD,Multiple_Regression_TV_Radio_Media
ANG INDIA LTD,Multiple_Regression
ANGEL BROKING LTD,Multiple_Regression
ANGRIYA SEA EAGLE PVT LTD,Multiple_Regression_TV_Radio_Media
ANHEUSER BUSCH INBEV INDIA LTD,LSTM
ANI TECHNOLOGIES PVT LTD,LSTM
ANIK MILK PRODUCTS PVT LTD,LSTM
ANIL FOODS,Polynomial_Regression_TV_Radio_Media
ANJALI JEWELLERS,LSTM
ANJALIS CARE,Multiple_Regression_TV_Radio_Media
ANKUR CHEM-FOODS PVT LTD,Multiple_Regression_TV_Radio_Media
ANKUR SEEDS PVT LTD,Multiple_Regression
ANMOL BISCUIT LTD,LSTM
ANNA ALLUMINIUM,LSTM
ANNA ALLUMINIUM/SARA SPICES,Multiple_Regression_TV_Radio_Media
ANNA KITEX GROUP,Multiple_Regression_TV_Radio_Media
ANNAI ARAVIND HERBALS,Multiple_Regression
ANNAI BUILDERS REAL ESTATES,Multiple_Regression
ANNAI FOOD PRODUCTS PVT LTD,Multiple_Regression_TV_Radio_Media
ANNAI JEWELLERS,Multiple_Regression_TV_Radio_Media
ANNAMAL EDUCATIONAL TRUST,Multiple_Regression
ANNAPOORNA ANUFOOD INDIA,Linear_Regression
ANNAPURNA GROUP,LSTM
ANNASAHEB PATIL ARTHIK MAGAS VIKAS MAHAM,LSTM
ANOOS OBESITY & ELECTROLYSIS PVT LTD,LSTM
ANOPCHAND TILOKCHAND,LSTM
ANSAR OIL INDUSTRIES,Multiple_Regression_TV_Radio_Media
ANSIKA TRADING PVT LTD,Multiple_Regression_TV_Radio_Media
ANTHUS PHARMACEUTICLS PVT LTD,Multiple_Regression_TV_Radio_Media
ANTI CORRUPTION BUREAU (GUJ),Multiple_Regression
ANTONY WASTE HANDLING CELL PVT,LSTM
ANUPAM RASAYAN INDIA LTD,Multiple_Regression_TV_Radio_Media
ANUPM DETERGENT & CHEMICALS PVT LTD,Multiple_Regression_TV_Radio_Media
ANURAG UNIVERSITY,Multiple_Regression_TV_Radio_Media
ANURUP VIVAHA SANSTHA,LSTM
ANUSPAA HERITAGE PRODUCTS PVT LTD,Multiple_Regression
ANUTEX SHOPPING MALL,Multiple_Regression
AONE TMT INDIA PRIVATE LIMITED,LSTM
AP TOURISM DEVP CORPORATION,Multiple_Regression_TV_Radio_Media
APARNA CONSTRUCTIONS & ESTATES,LSTM
APIS INDIA LTD,LSTM
APL APOLLO TUBES LTD,LSTM
APOLLO ARTS AND SCI CLG,LSTM
APOLLO ENGG CLG,Multiple_Regression_TV_Radio_Media
APOLLO HOSPITALS ENTERPRISE LTD,LSTM
APOLLO POLYTECHNIC CLG,Multiple_Regression
APOLLO TYRES LTD,LSTM
APPAPPO,Multiple_Regression_TV_Radio_Media
APPASWAMY REAL ESTATES LTD,LSTM
APPLE COMPUTER INDIA,LSTM
APPON INNOVATE,Multiple_Regression_TV_Radio_Media
APPY PIE LLP,Multiple_Regression_TV_Radio_Media
APR GROUP,Multiple_Regression_TV_Radio_Media
APTECH LIMITED,Multiple_Regression
APURVA TEXTILE SHOWROOM,Multiple_Regression_TV_Radio_Media
AQUA PLUMBINGS PVT LTD,Multiple_Regression_TV_Radio_Media
AQUALITE INDUSTRIES PVT LTD,LSTM
AR MOTION PICTURES,Multiple_Regression_TV_Radio_Media
ARADHANE OUSHADHA,Multiple_Regression_TV_Radio_Media
ARASAN CHEMICAL INDUSTRIES,LSTM
ARASUVAI ARUSU CATERERS PVT LTD,Multiple_Regression
ARAVIND CERAMICS P LTD,LSTM
ARB BEARINGS LTD,LSTM
ARCA EDUCATION SOCIETY,Linear_Regression
ARCHIVO INFRA INC,Multiple_Regression_TV_Radio_Media
ARG OUTLIER MEDIA PVT LTD,Multiple_Regression_TV_Radio_Media
ARHA MEDIA & BROADCASTING PVT LTD,LSTM
ARIA JEWELLERS,Multiple_Regression_TV_Radio_Media
ARIHANT CAPITAL MARKETS LTD,Multiple_Regression_TV_Radio_Media
ARIHANT COLLECTION,Multiple_Regression_TV_Radio_Media
ARISTON THERMO INDIA PVT LTD,Multiple_Regression_TV_Radio_Media
ARK GOLD COMPANY,Multiple_Regression_TV_Radio_Media
ARKASHISH PUBLICATIONS PVT LTD,LSTM
ARL INFRATECH LTD,Multiple_Regression_TV_Radio_Media
AROGYAM AYURVEDIC CENTRE(JLR),Multiple_Regression_TV_Radio_Media
ARPAN FRAGNANCE PVT LTD,Multiple_Regression
ARRS SILKS,Multiple_Regression_TV_Radio_Media
ARS STEELS & ALLOY INTL PVT LTD,LSTM
ARSALAN RESTAURANT & CATERERS,Multiple_Regression
ARSK GROUP,Polynomial_Regression_TV_to_Others
ARTSANA INDIA PVT LTD,LSTM
ARUL INDUSTRIES,LSTM
ARUN EXCELLO PVT LTD,LSTM
ARUNDHATI JEWELLERS,LSTM
ARUSUVAI FOODS,Multiple_Regression
ARVIND CLOTHING LTD,LSTM
ARVIND LABORATORIES,LSTM
ARYA FACTORY,Multiple_Regression_TV_Radio_Media
ARYA GROUP OF CLG,Multiple_Regression_TV_Radio_Media
AS SALUJA GROUP OF COMPANIES,Multiple_Regression
ASCENT HEALTH CARE PVT LTD,Multiple_Regression
ASCENT MEDITECH LTD,LSTM
ASHA CONFECTIONERY,Multiple_Regression_TV_Radio_Media
ASHIRVAD PIPES PVT LTD,LSTM
ASHIRWAD GOLD MINE,Multiple_Regression_TV_Radio_Media
ASHIRWAD TELE NETWORK PVT LTD,Multiple_Regression
ASHOK & CO (P) LTD,LSTM
ASHOK NANDAVANAM PROPERTIES PVT LTD,Multiple_Regression
ASHOK SALES CO,LSTM
ASHOKA HAWAI & SHOES PVT LTD,LSTM
ASHWASURYA REALITIES INDIA PVT LTD,Multiple_Regression
ASIAN FOOTWEARS PVT LTD,LSTM
ASIAN PAINTS (I) LTD,LSTM
ASIANET DIGITAL NETWORK PVT LTD,LSTM
ASIANET SATELLITE COMMUNICATN,LSTM
ASICS INDIA PVT LTD,LSTM
ASMAKAM FOUNDATION,Multiple_Regression_TV_Radio_Media
ASOKA TRADING CO,Multiple_Regression_TV_Radio_Media
ASQUARE FOOD AND BEVERAGES PVT LTD,Multiple_Regression
ASSAM CABLE SERVICE PVT LTD,Multiple_Regression
ASSAM POWER DISTRIBUTION COMPANY,Multiple_Regression_TV_Radio_Media
ASSAM STATE AIDS CONTROL SOCIETY,Multiple_Regression_TV_Radio_Media
ASSAM TOURISM DEVP CORP LTD,Multiple_Regression
ASSET HOMES,LSTM
ASSET TREE HOMES,Multiple_Regression_TV_Radio_Media
ASSO OF MINORITY PROF ACADEMIC INST,LSTM
ASSO OF PROF ACAMEMIC INST WB,Multiple_Regression_TV_Radio_Media
ASSOCHAM,Multiple_Regression_TV_Radio_Media
ASSOCIATED BROADCASTING COMPANY PVT LTD,LSTM
ASTELLAS PHARMA INC,Multiple_Regression_TV_Radio_Media
ASTER DM HEALTHCARE PVT LTD,LSTM
ASTRA HEARING CARE,LSTM
ASTRAL POLY TECHNIK LTD,LSTM
ASUSTEK COMPUTER INC,Multiple_Regression
ASWATHI HOSIERIES PVT LTD,LSTM
ASWINI HOMEO & AYURVEDIC PRODS,LSTM
ASWINS GROUP,Multiple_Regression_TV_Radio_Media
ATHER ENERGY PRIVATE LIMITED,Multiple_Regression
ATIBIR HI-TECH TMT BAR,Multiple_Regression
ATOMBERG TECHNOLOGY PVT LTD,Multiple_Regression_TV_Radio_Media
ATRIA CONVERGENCE TECHNOLOGIES,Multiple_Regression
ATRIX EDUCARE,Multiple_Regression_TV_Radio_Media
ATS INFRASTRUCTURE LTD,Multiple_Regression_TV_Radio_Media
ATTICA GOLD COMPANY,LSTM
ATUL PROJECTS INDIA LTD,Multiple_Regression_TV_Radio_Media
AUDI,LSTM
AUDIBLE SINGAPORE PVT LTD,LSTM
AUGMONT ENTERPRISES PVT LTD,Multiple_Regression_TV_Radio_Media
AUGUST JEWELLERY PVT LTD,Multiple_Regression_TV_Radio_Media
AUM GLOBAL (CHD),LSTM
AURA NATURAL PRODUCTS,Multiple_Regression_TV_Radio_Media
AURA PROPERTIES,Multiple_Regression_TV_Radio_Media
AURIO PHARMA LABORATORIES PVT LTD,Multiple_Regression_TV_Radio_Media
AUSTRALIA TOURISM,Multiple_Regression
AUTOBAT ACCUMULATOR PVT LTD,Multiple_Regression_TV_Radio_Media
AVA AND AP NATURALS PVT LTD,Multiple_Regression
AVA CHOLAYIL HEALTH CARE PVT LTD,Polynomial_Regression_TV_to_Others
AVADHOOTA DATTA PEETHAM,Multiple_Regression_TV_Radio_Media
AVANI SEEDS LTD,LSTM
AVASHYYA NONI HERBAL CARE,Multiple_Regression
AVATAR TEXTILES,Multiple_Regression_TV_Radio_Media
AVENIR SOLUTIONS,Multiple_Regression_TV_Radio_Media
AVINASH CLG OF COMMERCE,Multiple_Regression_TV_Radio_Media
AVON CYCLES LTD,LSTM
AVON MOLD PLAST PVT LTD,Multiple_Regression
AVON PLASTIC INDUSTRIES P LTD,LSTM
AVR JEWELLERS,LSTM
AVR SWARNA MAHAL JEWELLERY PVT LTD,Polynomial_Regression_TV_to_Others
AWEX,Multiple_Regression_TV_Radio_Media
AXEL & MARC FOOD PVT LTD,Multiple_Regression_TV_Radio_Media
AXENT ACADEMY,Multiple_Regression_TV_Radio_Media
AXIOM AYURVEDA,Multiple_Regression
AXIS ASSET MGMT CO LTD,Multiple_Regression
AXIS BANK,LSTM
AXIS BANK FOUNDATION,Multiple_Regression_TV_Radio_Media
AYUR ASHRAMA PHARMACEUTICALS,Multiple_Regression
AYURWIN PHARMA PVT LTD,Multiple_Regression
AYUSHAKTI AYURVED PVT LTD,Multiple_Regression_TV_Radio_Media
AYUSHAKTI CLINIC,Multiple_Regression_TV_Radio_Media
AZYM TECHNOLOGIES PVT LTD,Multiple_Regression_TV_Radio_Media
B A ALLOYS PVT LTD,LSTM
B D PHARMACEUTICAL WORKS PVT LTD,Multiple_Regression
B G CHITALE AGRICULTURE DAIRY,LSTM
B N GHANTY,Multiple_Regression_TV_Radio_Media
B NEW MOBILE STORE,Multiple_Regression_TV_Radio_Media
B P OIL MILLS,Multiple_Regression_TV_Radio_Media
B S CHANNABASAPPA & SONS,Multiple_Regression_TV_Radio_Media
B SIRKAR JOHUREE,Multiple_Regression
B TEX OINTMENT MFG CO,LSTM
B4U BROADBAND INDIA PVT LTD,Multiple_Regression_TV_Radio_Media
BAALI CORPORATE,Multiple_Regression_TV_Radio_Media
BAASHYAAM CONSTRUCTIONS PVT LTD,Polynomial_Regression_TV_Radio_Media
BABA MASTNATH UNIVERSITY,Multiple_Regression_TV_Radio_Media
BACARDI MARTINI INDIA,Multiple_Regression
BADR AL SAMAA MEDICAL CENTRE,Multiple_Regression_TV_Radio_Media
BAFNA BIOTECH,Multiple_Regression_TV_Radio_Media
BAG FILMS AND MEDIA LTD,LSTM
BAGGIT LEATHER SHOP,LSTM
BAGZONE LIFESTYLES PVT LTD,Multiple_Regression_TV_Radio_Media
BAJAJ ALLIANZ GENERAL INSURANCE CO LTD,LSTM
BAJAJ ALLIANZ LIFE INS CO LTD,LSTM
BAJAJ ALLIANZ LIFE INS CO LTD/TV18 BROADCAST LTD,Multiple_Regression_TV_Radio_Media
BAJAJ AUTO LTD,LSTM
BAJAJ CORP LTD,LSTM
BAJAJ ELECTRICALS LIMITED,LSTM
BAJAJ FINSERV LTD,Multiple_Regression
BAJAJ OVERSEAS IMPEX,Multiple_Regression_TV_Radio_Media
BAJORIA APPLIANCES PVT LTD,LSTM
BAKEMILL FOODS,Multiple_Regression_TV_Radio_Media
BAKSON DRUG & PHARMA PVT LTD,LSTM
BAKSON HOMEOPATHIC ALERGY CLIN,LSTM
BALAJI COCONUT OIL,LSTM
BALAJI DIVYANKA IT SOLUTIONS PVT LTD,Multiple_Regression_TV_Radio_Media
BALAJI ROTO MOULDERS (P) LTD,LSTM
BALAJI TRADING COMPANY,Linear_Regression
BALAJI WAFERS PVT LTD,LSTM
BALIGA INVESTMENTS,Multiple_Regression_TV_Radio_Media
BALIPARA FOUNDATION,Multiple_Regression_TV_Radio_Media
BALKRISHNA INDUSTRIES LTD,Polynomial_Regression_TV_to_Others
BALLEBAAZI,Multiple_Regression_TV_Radio_Media
BALMUKUND SPONGE & IRON LTD,LSTM
BALSON POLYPLAST PVT LTD,Multiple_Regression_TV_Radio_Media
BALTRA HOME PRODUCTS,Multiple_Regression_TV_Radio_Media
BAMBINO AGRO INDUSTRIES LTD,LSTM
BAN LABS LTD,LSTM
